File	Start	Stop
1	1	222
2	7	228
3	16	228
4	1	222
5	7	228
6	16	228
7	1	222
8	7	228
9	16	228
10	1	222
11	7	228
12	16	228
13	1	222
14	7	228
15	16	228
16	1	222
17	7	228
18	16	228
19	1	222
20	7	228
21	16	228
22	1	222
23	7	228
24	16	228
25	1	222
26	7	228
27	16	228
28	1	222
29	7	228
30	16	228
31	1	222
32	7	228
33	16	228
34	1	222
35	7	228
36	16	228
37	1	222
38	7	228
39	16	228
40	1	222
41	7	228
42	16	228
43	1	222
44	7	228
45	16	228
46	1	222
47	7	228
48	16	228
49	1	222
50	7	228
51	16	228
52	1	222
53	7	228
54	16	228
55	1	222
56	7	228
57	16	228
58	1	222
59	7	228
60	16	228
61	1	222
62	7	228
63	16	226
64	1	222
65	7	228
66	16	226
67	1	222
68	7	228
69	16	226
70	1	222
71	7	228
72	16	226
73	1	222
74	10	231
75	7	218
76	1	222
77	10	231
78	7	218
79	1	222
80	10	231
81	7	218
82	1	222
83	10	231
84	7	218
85	1	222
86	7	228
87	10	222
88	1	222
89	7	228
90	10	222
91	1	222
92	7	228
93	10	222
94	1	222
95	7	228
96	10	222
97	1	222
98	4	225
99	10	222
100	1	222
101	4	225
102	10	222
103	1	222
104	4	225
105	10	222
106	1	222
107	4	225
108	10	222
109	1	222
110	7	228
111	4	218
112	1	222
113	7	228
114	4	218
115	1	222
116	7	228
117	16	227
118	1	222
119	7	228
120	16	227
121	1	216
122	10	237
123	4	216
124	1	216
125	10	237
126	4	216
127	1	216
128	10	237
129	4	216
130	1	216
131	10	237
132	4	216
133	1	216
134	10	237
135	4	216
136	1	216
137	10	237
138	4	216
139	1	216
140	10	237
141	4	216
142	1	216
143	10	237
144	4	216
145	1	216
146	10	237
147	4	216
148	1	216
149	10	237
150	4	216
151	1	216
152	10	237
153	4	216
154	1	216
155	10	237
156	4	216
157	1	216
158	10	237
159	4	216
160	1	216
161	10	237
162	4	216
163	1	216
164	10	237
165	4	216
166	1	216
167	10	237
168	4	216
169	1	216
170	10	237
171	4	216
172	1	216
173	10	237
174	4	216
175	1	216
176	10	237
177	4	216
178	1	216
179	10	237
180	4	216
181	1	228
182	1	222
183	7	214
184	1	228
185	1	222
186	7	214
187	1	228
188	1	222
189	7	214
190	1	228
191	1	222
192	7	214
193	1	222
194	7	228
195	16	226
196	1	222
197	7	228
198	16	226
199	1	216
200	10	237
201	4	216
202	1	216
203	10	237
204	4	216
205	1	222
206	7	228
207	16	226
208	1	222
209	7	228
210	16	226
211	1	222
212	7	228
213	16	226
214	1	222
215	7	228
216	16	226
